Transaction_ID,Items,Item_Count
332,yogurt,1
333,soda,1
334,bottled water,1
335,"sausage, meat, hamburger meat, rubbing alcohol",4
336,"citrus fruit, pip fruit, beverages, hard cheese",4
337,shopping bags,1
338,newspapers,1
339,"frankfurter, other vegetables, whole milk, curd",4
340,"sausage, citrus fruit, whole milk, canned beer",4
341,"frankfurter, rolls/buns",2
342,"salt, salty snack, cookware",3
343,oil,1
344,"curd, beverages, cream cheese, rolls/buns",4
345,"other vegetables, butter, specialty chocolate",3
346,citrus fruit,1
347,"frankfurter, whole milk, butter milk",3
348,"root vegetables, whole milk, butter, processed cheese",4
349,"tropical fruit, whole milk, frozen meals, bottled beer",4
350,"beef, hamburger meat, pip fruit",3
351,"berries, whipped/sour cream, cereals, waffles",4
352,canned beer,1
353,"whipped/sour cream, canned beer, red/blush wine",3
354,"root vegetables, domestic eggs, margarine, chocolate marshmallow",4
355,"whole milk, soda",2
356,beef,1
357,frozen vegetables,1
358,"rolls/buns, bottled beer",2
359,"whole milk, hygiene articles",2
360,whole milk,1
361,"citrus fruit, whole milk, curd, soft cheese",4
362,"pastry, fruit/vegetable juice",2
363,"frankfurter, sausage, pork, pip fruit",4
364,"tropical fruit, root vegetables, whole milk, whipped/sour cream",4
365,"frankfurter, sausage, root vegetables, yogurt",4
366,"berries, root vegetables, other vegetables, packaged fruit/vegetables",4
367,"rolls/buns, brown bread, pastry, coffee",4
368,"root vegetables, packaged fruit/vegetables, curd, dessert",4
369,yogurt,1
370,"other vegetables, bottled water",2
371,"berries, white bread",2
372,"berries, coffee",2
373,"other vegetables, butter milk, frozen meals, bottled water",4
374,"rolls/buns, newspapers",2
375,"ham, citrus fruit, whole milk, whipped/sour cream",4
376,"whole milk, frozen dessert, salty snack, napkins",4
377,"tropical fruit, butter milk, rolls/buns, bottled water",4
378,bottled water,1
379,"butter milk, yogurt",2
380,newspapers,1
381,coffee,1
382,"bottled beer, liquor",2
383,"onions, butter, whipped/sour cream, hard cheese",4
384,"hamburger meat, hard cheese, frozen meals, pasta",4
385,"sausage, liver loaf, other vegetables, cream cheese",4
386,"hard cheese, pastry, napkins",3
387,"sausage, tropical fruit, condensed milk, rolls/buns",4
388,hamburger meat,1
389,"onions, whole milk, beverages, frozen dessert",4
390,coffee,1
391,shopping bags,1
392,"yogurt, rolls/buns, pastry, bottled water",4
393,soda,1
394,sliced cheese,1
395,"sausage, whole milk, coffee",3
396,"yogurt, chocolate",2
397,"domestic eggs, rolls/buns, dish cleaner, hygiene articles",4
398,whole milk,1
399,"meat, other vegetables, whole milk, whipped/sour cream",4
400,"dish cleaner, bathroom cleaner, hygiene articles, napkins",4
401,"other vegetables, red/blush wine",2
402,"whole milk, butter milk, yogurt, sliced cheese",4
403,"other vegetables, whole milk, rolls/buns, Instant food products",4
404,"tropical fruit, other vegetables",2
405,"baking powder, bottled water, salty snack, chewing gum",4
406,specialty bar,1
407,ice cream,1
408,"frankfurter, yogurt",2
409,canned beer,1
410,bottled water,1
411,"other vegetables, whole milk, rolls/buns, margarine",4
412,"citrus fruit, tropical fruit, onions, other vegetables",4
413,"sausage, ham, hamburger meat, whole milk",4
414,"domestic eggs, rolls/buns, specialty bar, napkins",4
415,"pork, citrus fruit, tropical fruit, root vegetables",4
416,"specialty cheese, frozen vegetables, coffee, soda",4
417,"pork, citrus fruit, pip fruit, yogurt",4
418,"beef, berries, whipped/sour cream, domestic eggs",4
419,"other vegetables, pet care",2
420,"chicken, yogurt, sliced cheese, rolls/buns",4
421,"soda, chewing gum",2
422,whole milk,1
423,rolls/buns,1
424,bottled beer,1
425,"root vegetables, pastry, bottled water, male cosmetics",4
426,pastry,1
427,"berries, pet care, cake bar, shopping bags",4
428,"citrus fruit, tropical fruit, root vegetables, yogurt",4
429,"whole milk, oil, canned fruit, fruit/vegetable juice",4
430,"soda, misc. beverages",2
431,"bottled water, soda",2
432,"tropical fruit, other vegetables, rolls/buns",3
433,salty snack,1
434,"bottled water, canned beer",2
435,chocolate,1
436,"citrus fruit, UHT-milk, cream cheese, frozen vegetables",4
437,"bottled water, canned beer, male cosmetics",3
438,"onions, other vegetables, pastry, bottled water",4
439,"dessert, oil, cat food, soda",4
440,"beef, other vegetables, whole milk, frozen potato products",4
441,"rolls/buns, zwieback, bottled water, misc. beverages",4
442,"beef, tropical fruit, root vegetables, onions",4
443,soda,1
444,"coffee, hygiene articles",2
445,"rolls/buns, brown bread, bottled water",3
446,"pork, beef, hamburger meat, other vegetables",4
447,"soda, canned beer, liquor (appetizer), hygiene articles",4
448,"sausage, ham, other vegetables, ice cream",4
449,"beef, root vegetables, other vegetables, rolls/buns",4
450,"whole milk, butter, bottled water, bottled beer",4
451,"pork, ice cream, hygiene articles, house keeping products",4
452,"berries, packaged fruit/vegetables, whole milk, ice cream",4
453,"sausage, other vegetables, curd, yogurt",4
454,"bottled water, misc. beverages, cling film/bags",3
455,"tropical fruit, other vegetables, packaged fruit/vegetables, whole milk",4
456,"herbs, bottled water",2
457,"yogurt, rolls/buns",2
458,Instant food products,1
459,specialty chocolate,1
460,coffee,1
461,"bottled beer, liquor",2
462,"beef, root vegetables",2
463,"whole milk, honey, waffles",3
464,"frankfurter, rolls/buns, pastry, snack products",4
465,"frankfurter, sausage, liver loaf, root vegetables",4
466,"other vegetables, whole milk, cream cheese",3
467,"frankfurter, root vegetables, pickled vegetables, soda",4
468,"whole milk, rolls/buns, newspapers",3
469,"frankfurter, margarine, dental care",3
470,"other vegetables, salty snack",2
471,"bottled water, shopping bags",2
472,"pork, onions, whole milk, butter",4
473,bottled water,1
474,"other vegetables, whipped/sour cream, specialty cheese, domestic eggs",4
475,"hamburger meat, whole milk, curd, pasta",4
476,"hamburger meat, citrus fruit, other vegetables",3
477,shopping bags,1
478,"whole milk, cream cheese, soda, fruit/vegetable juice",4
479,ice cream,1
480,"pastry, bottled water",2
481,"ham, pip fruit, whole milk, curd",4
482,"frankfurter, soda",2
483,"sausage, turkey, beef, root vegetables",4
484,bottled beer,1
485,"bottled water, bottled beer, napkins",3
486,"meat, other vegetables, hard cheese, frozen meals",4
487,"dessert, candy",2
488,"other vegetables, packaged fruit/vegetables, UHT-milk, bottled water",4
489,"beverages, rolls/buns, soda",3
490,"ham, mustard, canned fish",3
491,specialty bar,1
492,"brown bread, soda, salty snack, shopping bags",4
493,"whole milk, cream cheese, coffee",3
494,"rolls/buns, pastry, red/blush wine",3
495,"bottled beer, nut snack",2
496,"pet care, bottled beer",2
497,"citrus fruit, other vegetables, soda",3
498,"pork, other vegetables, frozen vegetables, hygiene articles",4
499,"other vegetables, shopping bags",2
500,"white wine, detergent",2
501,"whole milk, dessert, bottled water",3
502,"pip fruit, white wine, shopping bags",3
503,"sugar, soda, bottled beer",3
504,"tropical fruit, pip fruit, rolls/buns, coffee",4
505,"root vegetables, cream cheese, spread cheese, frozen dessert",4
506,"soda, misc. beverages",2
507,"whole milk, curd",2
508,"tropical fruit, other vegetables, yogurt, bottled water",4
509,"white bread, brown bread",2
510,"brown bread, sugar, hygiene articles",3
511,"tropical fruit, root vegetables, coffee, bottled water",4
512,domestic eggs,1
513,"coffee, detergent, hygiene articles, photo/film",4
514,soda,1
515,whole milk,1
516,bottled beer,1
517,"pork, beef, berries, packaged fruit/vegetables",4
518,"other vegetables, yogurt",2
519,"yogurt, bottled water, dishes",3
520,sparkling wine,1
521,"bottled water, candy",2
522,"citrus fruit, berries, other vegetables, butter milk",4
523,"hamburger meat, root vegetables, other vegetables, whole milk",4
524,"packaged fruit/vegetables, seasonal products",2
525,"other vegetables, margarine",2
526,soda,1
527,"whole milk, yogurt, frozen potato products, margarine",4
528,"herbs, yogurt",2
529,"citrus fruit, spread cheese, rolls/buns, soda",4
530,misc. beverages,1
531,female sanitary products,1
532,soda,1
533,"tropical fruit, whole milk, beverages, white bread",4
534,"soda, female sanitary products",2
535,"white bread, bottled water, soda, waffles",4
536,"coffee, chewing gum, chocolate marshmallow",3
537,"tropical fruit, root vegetables, whole milk, frozen vegetables",4
538,"pork, pip fruit, whole milk, butter milk",4
539,"citrus fruit, bottled water",2
540,frankfurter,1
541,"frankfurter, rolls/buns",2
542,"frankfurter, tropical fruit, pip fruit, curd",4
543,other vegetables,1
544,"yogurt, fruit/vegetable juice, newspapers",3
545,"sausage, whole milk, yogurt, brown bread",4
546,whole milk,1
547,"pip fruit, whole milk, curd, pastry",4
548,whole milk,1
549,"root vegetables, other vegetables",2
550,"onions, fruit/vegetable juice",2
551,specialty chocolate,1
552,"hamburger meat, domestic eggs",2
553,photo/film,1
554,"rolls/buns, soda, snack products, newspapers",4
555,canned beer,1
556,canned beer,1
557,"other vegetables, curd, frozen meals, frozen potato products",4
558,canned beer,1
559,"curd, whipped/sour cream, rolls/buns, zwieback",4
560,"butter, fruit/vegetable juice, newspapers",3
561,"other vegetables, whole milk, yogurt, domestic eggs",4
562,whole milk,1
563,"beef, tropical fruit, herbs, whole milk",4
564,"sausage, rolls/buns",2
565,soda,1
566,"fruit/vegetable juice, long life bakery product",2
567,"rolls/buns, coffee, long life bakery product, detergent",4
568,"pip fruit, whole milk, bottled water, candy",4
569,"frozen vegetables, bottled beer, liquor (appetizer), chewing gum",4
570,beverages,1
571,"hamburger meat, root vegetables, other vegetables, domestic eggs",4
572,"root vegetables, other vegetables, whole milk, yogurt",4
573,canned beer,1
574,"frozen vegetables, bottled beer",2
575,canned beer,1
576,newspapers,1
577,rolls/buns,1
578,"hamburger meat, UHT-milk, salty snack",3
579,"pip fruit, whole milk, curd, rum",4
580,canned beer,1
581,"grapes, root vegetables, frozen vegetables, domestic eggs",4
582,"root vegetables, packaged fruit/vegetables, butter, whipped/sour cream",4
583,"citrus fruit, frozen vegetables, rolls/buns, canned beer",4
584,"cling film/bags, pot plants",2
585,"frankfurter, whole milk, rolls/buns, margarine",4
586,"whole milk, red/blush wine",2
587,"pork, tropical fruit, whole milk, curd",4
588,"chicken, pastry",2
589,"sausage, dish cleaner, dishes",3
590,specialty bar,1
591,"whipped/sour cream, pastry, specialty bar",3
592,"root vegetables, brown bread",2
593,"rolls/buns, soda",2
594,"other vegetables, bottled beer, red/blush wine",3
595,"citrus fruit, tropical fruit, berries, root vegetables",4
596,"whole milk, processed cheese, brown bread, pastry",4
597,"frankfurter, sausage, tropical fruit, root vegetables",4
598,"coffee, long life bakery product",2
599,"ham, rolls/buns, white wine",3
600,canned beer,1
601,canned beer,1
602,canned beer,1
603,"pip fruit, whole milk, canned fish",3
604,"pork, pip fruit, other vegetables, whole milk",4
605,soap,1
606,"pip fruit, butter, frozen meals, pasta",4
607,"beef, hamburger meat, citrus fruit, whole milk",4
608,"sausage, meat, other vegetables, whole milk",4
609,frozen chicken,1
610,soda,1
611,"tropical fruit, curd, yogurt, rolls/buns",4
612,other vegetables,1
613,"beef, citrus fruit, curd, rolls/buns",4
614,"meat, pork, beef, citrus fruit",4
615,"meat, hamburger meat, root vegetables, packaged fruit/vegetables",4
616,"bottled water, soda, red/blush wine, long life bakery product",4
617,rolls/buns,1
618,"pastry, canned beer",2
619,"pork, whole milk, pastry, sauces",4
620,"pip fruit, sliced cheese, pastry, white wine",4
621,"beef, citrus fruit, tropical fruit, yogurt",4
622,"beef, citrus fruit, berries, brown bread",4
623,"rolls/buns, spices",2
624,"citrus fruit, tropical fruit, herbs, whole milk",4
625,"meat, beef, herbs, whole milk",4
626,"beverages, pastry, bottled water",3
627,"beef, citrus fruit, other vegetables, rolls/buns",4
628,"ham, whole milk, white bread, margarine",4
629,"hamburger meat, whole milk, oil, ketchup",4
630,"beef, citrus fruit, other vegetables, butter milk",4
631,"beef, citrus fruit, whole milk, domestic eggs",4
632,"root vegetables, whole milk, detergent",3
633,"citrus fruit, tropical fruit, grapes, other vegetables",4
634,"yogurt, bottled water",2
635,"tropical fruit, root vegetables, other vegetables, whipped/sour cream",4
636,"frankfurter, root vegetables, newspapers",3
637,"beef, other vegetables, whole milk, brown bread",4
638,shopping bags,1
639,canned beer,1
640,"rolls/buns, canned beer",2
641,"other vegetables, rolls/buns, meat spreads, bottled water",4
642,"hamburger meat, other vegetables, yogurt, rolls/buns",4
643,"hamburger meat, citrus fruit, root vegetables, rolls/buns",4
644,"frankfurter, sausage, domestic eggs, soda",4
645,bottled beer,1
646,"tropical fruit, domestic eggs, rolls/buns, pastry",4
647,soda,1
648,"frankfurter, root vegetables, onions, other vegetables",4
649,"chicken, hamburger meat, herbs, whipped/sour cream",4
650,"coffee, soda",2
651,whole milk,1
652,margarine,1
653,"tropical fruit, other vegetables",2
654,"meat, other vegetables",2
655,"cream cheese, bottled water, canned beer",3
656,newspapers,1
657,"rolls/buns, pastry, newspapers",3
658,"citrus fruit, other vegetables, whole milk, curd",4
659,"whole milk, rolls/buns, detergent",3
660,"frankfurter, citrus fruit, butter milk, UHT-milk",4
661,"ham, other vegetables, butter, whipped/sour cream",4
662,"frankfurter, citrus fruit, bottled beer, salty snack",4
663,"sausage, onions, curd, yogurt",4
664,domestic eggs,1
665,"whole milk, domestic eggs, rolls/buns, soda",4
666,"rolls/buns, bottled beer, newspapers",3
667,"whole milk, hard cheese, chocolate marshmallow",3
668,"sausage, root vegetables, other vegetables, rolls/buns",4
669,"curd, butter milk, yogurt, beverages",4
670,bottled water,1
671,beef,1
672,"frankfurter, hamburger meat, whole milk, rolls/buns",4
673,"chicken, butter, newspapers",3
674,"sausage, meat, tropical fruit, pip fruit",4
675,"pork, whole milk, whipped/sour cream, beverages",4
676,"yogurt, pastry, coffee",3
677,"whole milk, sliced cheese, margarine, cat food",4
678,"frankfurter, ham, whole milk, yogurt",4
679,"beef, whole milk, brown bread, specialty chocolate",4
680,"pip fruit, other vegetables, butter milk, cream cheese",4
681,"sausage, whole milk, rolls/buns, coffee",4
682,"pastry, coffee",2
683,"chicken, beef, specialty chocolate",3
684,"root vegetables, other vegetables, whole milk, sliced cheese",4
685,"whole milk, frozen meals, rolls/buns",3
686,detergent,1
687,"rolls/buns, canned fish",2
688,house keeping products,1
689,"yogurt, salt, jam, sparkling wine",4
690,"tropical fruit, curd, sliced cheese, rolls/buns",4
691,tropical fruit,1
692,"curd, UHT-milk, artif. sweetener, dental care",4
693,"beef, berries, onions, rolls/buns",4
694,"whole milk, brown bread, pasta, margarine",4
695,"pork, UHT-milk, bottled water, soda",4
696,"other vegetables, curd, yogurt, curd cheese",4
697,"rolls/buns, soda, fruit/vegetable juice, canned beer",4
698,"frankfurter, pip fruit, whole milk, rolls/buns",4
699,"yogurt, hygiene articles, newspapers, shopping bags",4
700,"whole milk, curd, sliced cheese, cat food",4
701,"bottled water, candy",2
702,"frankfurter, beef, butter",3
703,"rolls/buns, soda, snack products, shopping bags",4
704,"whole milk, pastry, bottled water, hygiene articles",4
705,rolls/buns,1
706,"chicken, onions, other vegetables, whole milk",4
707,"tropical fruit, onions, whole milk, butter",4
